periodo;regiao;instituicao;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;total_urgencias
2024-01-01;Região de Saúde LVT;Unidade Local de Saúde da Arrábida;5433;2425;515;0;8373
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;5536;0;0;0;5536
2024-01-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra;13917;3268;1303;0;18488
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;11752;4087;998;0;16837
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;15899;2720;630;0;19249
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;6206;0;615;0;6821
2024-01-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;8830;1827;328;0;10985
2025-01-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;6310;2423;502;0;9235
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;5561;0;0;0;5561
2025-01-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;9564;2406;581;0;12551
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;12394;2115;573;0;15082
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;11119;3381;612;0;15112
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;9737;1640;510;0;11887
2025-01-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo;6191;3880;505;0;10576
2024-02-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;18709;7382;915;0;27006
2024-02-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;19580;5044;1532;0;26156
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende;8199;2453;0;0;10652
2024-02-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;17289;5980;2198;0;25467
2024-02-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;11236;4468;2733;0;18437
2024-02-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;20092;7690;148;0;27930
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;19273;0;3200;0;22473
2024-02-01;Região de Saúde LVT;Unidade Local de Saúde de São José;21143;14139;3913;1005;40200
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave;15976;5798;1538;0;23312
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;21666;3654;1052;0;26372
2024-02-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;7890;3348;0;0;11238
2024-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;0;0;0;0;0
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave;13529;5665;1120;0;20314
