periodo;regiao;total_urgencias;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;obitos;internamentos;dias_internamento;ambulatorio;mortalidade_alta;pressao_total;pressao_alta
2019-01-01;Região de Saúde Alentejo;34008;28888;4697;423;0;288;3080;25010;2157;0;28090;0
2019-01-01;Região de Saúde Algarve;30132;21191;7204;1737;0;289;2816;27628;1724;0;30444;0
2019-01-01;Região de Saúde Centro;102208;71458;24723;6027;0;1109;14547;118529;11366;1;133076;1
2019-01-01;Região de Saúde LVT;210891;135017;60207;15177;490;2213;26461;224576;22601;1;251037;1
2019-01-01;Região de Saúde Norte;188744;142473;35392;10879;0;1774;27201;201398;27951;1;228599;1
2019-02-01;Região de Saúde Alentejo;64996;55226;8998;772;0;249;2823;22999;2093;0;25822;0
2019-02-01;Região de Saúde Algarve;57994;41004;13735;3255;0;251;2617;24893;1522;0;27510;0
2019-02-01;Região de Saúde Centro;190745;135277;44275;11193;0;983;13377;109520;9602;1;122897;1
2019-02-01;Região de Saúde LVT;397192;254047;113369;28790;986;1728;24305;209983;20193;1;234288;1
2019-02-01;Região de Saúde Norte;369901;278447;71148;20306;0;1622;24496;194412;23081;1;218908;1
2019-03-01;Região de Saúde Alentejo;94816;80925;12784;1107;0;243;2926;23517;2141;0;26443;0
2019-03-01;Região de Saúde Algarve;87183;62053;20138;4992;0;232;2692;24524;1586;0;27216;0
2019-03-01;Região de Saúde Centro;283059;202761;63587;16711;0;952;13932;112964;10782;1;126896;1
2019-03-01;Região de Saúde LVT;593726;383895;164039;44234;1558;1632;25135;216053;21973;1;241188;1
2019-03-01;Região de Saúde Norte;551005;418406;101861;30738;0;1546;26332;199103;26467;1;225435;1
2019-04-01;Região de Saúde Alentejo;122865;105347;16004;1514;0;220;2720;29107;2182;0;31827;0
2019-04-01;Região de Saúde Algarve;115112;82474;25852;6786;0;203;2636;23973;1705;0;26609;0
2019-04-01;Região de Saúde Centro;366557;263919;80202;22436;0;832;13389;109171;10571;0;122560;1
2019-04-01;Região de Saúde LVT;778674;509100;208283;59216;2075;1528;24486;215794;21935;1;240280;1
2019-04-01;Região de Saúde Norte;720672;551525;127933;41214;0;1357;25579;201627;26663;1;227206;1
2019-05-01;Região de Saúde Alentejo;154075;132005;20058;2012;0;199;2991;23308;2277;0;26299;0
2019-05-01;Região de Saúde Algarve;145425;104829;32058;8538;0;236;2757;27906;1882;0;30663;0
2019-05-01;Região de Saúde Centro;468598;338823;101327;28448;0;813;14259;117580;11854;0;131839;1
2019-05-01;Região de Saúde LVT;980370;640497;262505;74712;2656;1409;25623;221110;23545;1;246733;1
2019-05-01;Região de Saúde Norte;907161;696553;158413;52195;0;1356;26949;204788;29313;1;231737;1
2019-06-01;Região de Saúde Alentejo;182536;156931;23187;2418;0;183;2439;19559;1790;0;21998;0
2019-06-01;Região de Saúde Algarve;174726;126646;37703;10377;0;221;2443;30858;1578;0;33301;0
2019-06-01;Região de Saúde Centro;558812;406301;118516;33995;0;740;12499;102114;9640;0;114613;0
2019-06-01;Região de Saúde LVT;1167753;766860;307755;89967;3171;1408;22828;196265;19538;1;219093;1
2019-06-01;Região de Saúde Norte;1081425;833448;184598;63379;0;1311;23606;177537;24120;1;201143;1
2019-07-01;Região de Saúde Alentejo;212873;183517;26460;2896;0;197;2702;23020;2181;0;25722;0
2019-07-01;Região de Saúde Algarve;207383;151491;43508;12384;0;226;2758;26937;1956;0;29695;0
2019-07-01;Região de Saúde Centro;654055;478635;135016;40404;0;809;13513;117269;10793;0;130782;1
2019-07-01;Região de Saúde LVT;1359012;899058;349550;106650;3754;1393;24571;216576;22721;1;241147;1
2019-07-01;Região de Saúde Norte;1265996;981290;209407;75299;0;1321;25343;199243;28462;1;224586;1
2019-08-01;Região de Saúde Alentejo;243553;210993;29164;3396;0;214;2703;21260;1917;0;23963;0
2019-08-01;Região de Saúde Algarve;243200;179590;49053;14557;0;219;2786;27024;1703;0;29810;0
2019-08-01;Região de Saúde Centro;749183;552091;149979;47113;0;845;12705;105388;8081;0;118093;1
2019-08-01;Região de Saúde LVT;1544035;1031278;385036;123406;4315;1398;23524;198780;19763;1;222304;1
2019-08-01;Região de Saúde Norte;1448625;1130178;230918;87529;0;1246;23598;183956;22547;1;207554;1
2019-09-01;Região de Saúde Alentejo;272988;236731;32263;3994;0;194;2739;29097;2133;0;31836;0
2019-09-01;Região de Saúde Algarve;274578;203344;54733;16501;0;221;2551;26528;1652;0;29079;0
2019-09-01;Região de Saúde Centro;841058;621420;166284;53354;0;796;13042;106085;9743;0;119127;1
2019-09-01;Região de Saúde LVT;1737453;1162743;429797;140042;4871;1375;23787;192814;21881;1;216601;1
2019-09-01;Região de Saúde Norte;1626169;1271084;255951;99134;0;1277;25040;180076;27181;1;205116;1
2019-10-01;Região de Saúde Alentejo;304676;263891;36264;4521;0;232;3056;22942;2352;0;25998;0
2019-10-01;Região de Saúde Algarve;305500;225424;61735;18341;0;196;2826;25074;1860;0;27900;0
2019-10-01;Região de Saúde Centro;940981;693557;188062;59362;0;802;14494;115788;11195;0;130282;1
2019-10-01;Região de Saúde LVT;1950509;1300144;488375;156499;5491;1495;26689;223506;24568;1;250195;1
2019-10-01;Região de Saúde Norte;1816621;1416778;289328;110515;0;1353;27582;198635;30712;1;226217;1
2019-11-01;Região de Saúde Alentejo;333441;288423;40007;5011;0;215;2781;21265;2128;0;24046;0
2019-11-01;Região de Saúde Algarve;332791;244886;67966;19939;0;255;2578;26525;1711;0;29103;0
2019-11-01;Região de Saúde Centro;1037261;760783;211615;64863;0;831;13186;106707;10356;0;119893;1
2019-11-01;Região de Saúde LVT;2149217;1426091;545515;171582;6029;1483;24628;209792;21669;1;234420;1
2019-11-01;Região de Saúde Norte;2000518;1553669;325692;121157;0;1381;25410;189972;28412;1;215382;1
2019-12-01;Região de Saúde Alentejo;364794;314891;44389;5514;0;242;2847;21646;1736;0;24493;0
2019-12-01;Região de Saúde Algarve;362899;265797;75497;21605;0;232;2596;26289;1353;0;28885;0
2019-12-01;Região de Saúde Centro;1136699;829144;236618;70937;0;820;13168;111250;9275;0;124418;1
2019-12-01;Região de Saúde LVT;2364438;1558551;612482;186872;6533;1629;25119;217874;19182;1;242993;1
2019-12-01;Região de Saúde Norte;2196730;1697423;366747;132560;0;1434;26056;198921;24619;1;224977;1
2020-01-01;Região de Saúde Alentejo;33587;28381;4711;495;0;253;3004;23875;2304;0;26879;0
2020-01-01;Região de Saúde Algarve;32408;22920;7738;1750;0;329;2798;28495;1795;0;31293;0
2020-01-01;Região de Saúde Centro;99895;71449;22468;5978;0;1027;14028;116140;11573;1;130168;1
2020-01-01;Região de Saúde LVT;211352;135968;59171;15679;534;1799;26617;231312;23175;1;257929;1
2020-01-01;Região de Saúde Norte;195409;148343;35928;11138;0;1777;27324;210676;29494;1;238000;1
